timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784785192379,506,Gui ,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,14907,114,10,10,https://octoperf.com/,422,0,0
1784785192380,887,info,200,OK,Non Gui TestCases using CSV files 1-9,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,885,0,645
1784785191795,1589,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,47772,246,10,10,https://www.easycalculation.com/,439,0,0
1784785191795,439,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-8,text,true,,362,121,10,10,https://easycalculation.com/,439,0,0
1784785192234,1150,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,47410,125,10,10,https://www.easycalculation.com/,839,0,0
1784785191799,1593,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-3,text,true,,47772,246,10,10,https://www.easycalculation.com/,435,0,0
1784785191799,435,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-3,text,true,,362,121,10,10,https://easycalculation.com/,435,0,0
1784785192234,1158,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-3,text,true,,47410,125,10,10,https://www.easycalculation.com/,852,0,0
1784785193267,127,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-9,text,false,,329,119,10,10,https://www.wikipedia.org/,127,0,0
1784785192650,758,info,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,756,0,509
1784785193386,54,example,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,872,113,10,10,https://example.com/,54,0,0
1784785193394,59,example,200,OK,Non Gui TestCases using CSV files 1-3,text,true,,872,113,10,10,https://example.com/,58,0,0
1784785193453,207,W3org,200,OK,Non Gui TestCases using CSV files 1-3,text,true,,54789,112,10,10,https://www.w3.org/,73,0,0
1784785193441,225,W3org,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,54790,112,10,10,https://www.w3.org/,78,0,0
1784785193409,259,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-4,text,false,,329,119,10,10,https://www.wikipedia.org/,259,0,0
1784785192757,915,info,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,913,0,529
1784785193673,130,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-2,text,false,,329,119,10,10,https://www.wikipedia.org/,130,0,0
1784785192886,1239,Practice Automation,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,47772,246,10,10,https://www.easycalculation.com/,300,0,0
1784785192886,300,Practice Automation-0,301,Moved Permanently,Non Gui TestCases using CSV files 1-1,text,true,,362,121,10,10,https://easycalculation.com/,300,0,0
1784785193186,939,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,47410,125,10,10,https://www.easycalculation.com/,607,0,0
1784785194126,54,example,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,872,113,10,10,https://example.com/,53,0,0
1784785194180,216,W3org,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,54790,112,10,10,https://www.w3.org/,88,0,0
1784785193668,742,info,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,741,0,492
1784785193662,748,info,200,OK,Non Gui TestCases using CSV files 1-3,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,747,0,497
1784785194412,130,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-8,text,false,,329,119,10,10,https://www.wikipedia.org/,130,0,0
1784785194412,132,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-3,text,false,,329,119,10,10,https://www.wikipedia.org/,132,0,0
1784785193668,932,httpbin,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,490,116,10,10,https://httpbin.org/get,932,0,0
1784785170603,24057,httpbin,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,490,116,10,10,https://httpbin.org/get,24057,0,1039
1784785193804,856,httpbin,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,490,116,10,10,https://httpbin.org/get,856,0,0
1784785194661,440,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-2,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,439
1784785194602,512,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-4,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,512
1784785194397,766,info,200,OK,Non Gui TestCases using CSV files 1-1,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,764,0,506
1784785194664,501,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-7,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,501
1784785195166,143,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-1,text,false,,329,119,10,10,https://www.wikipedia.org/,143,0,0
1784785195115,640,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,334,0,0
1784785195103,652,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,346,0,0
1784785194543,1384,httpbin,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,490,116,10,10,https://httpbin.org/get,1384,0,0
1784785195928,491,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-8,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,491
1784785195171,1352,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,1018,0,662
1784785195757,984,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,51579,130,10,10,https://books.toscrape.com/index.html,342,0,0
